cmtcode         zSNR     zSNR     zSNR
C201612212245A  NaN      NaN      NaN
C201612212327A  NaN      NaN      NaN
C201612220059A  NaN      NaN      NaN
C201612220223A  NaN      NaN      NaN
C201612220302A  NaN      NaN      NaN
C201612220606A  NaN      NaN      NaN
C201612220719A  NaN      NaN      NaN
C201612221240A  NaN      NaN      NaN
C201612221605A  NaN      NaN      NaN
C201612231428A  NaN      NaN      NaN
C201612231609A  NaN      NaN      NaN
C201612231725A  NaN      NaN      NaN
C201612231817A  NaN      NaN      NaN
C201612231915A  NaN      NaN      NaN
C201612232128A  NaN      NaN      NaN
C201612232232A  1.385    0.836    0.878
C201612240027A  0.930    0.779    0.982
C201612240132A  3.510    0.985    0.380
C201612240358A  2.435    1.255    1.158
C201612241010A  0.754    1.137    0.572
C201612241130A  0.886    1.093    0.901
C201612241210A  0.961    1.334    0.955
C201612241938A  0.926    0.938    1.061
C201612242203A  0.834    1.271    1.598
C201612251422A  180.318  25.460   41.380
C201612260123A  0.646    0.886    0.606
C201612260448A  0.988    1.001    0.523
C201612260635A  1.597    0.982    0.709
C201612270017A  1.466    1.869    1.001
C201612270230A  1.828    1.888    1.489
C201612271525A  0.646    0.798    1.013
C201612271607B  1.468    0.979    1.036
C201612271804A  1.326    0.893    0.875
C201612271931A  0.745    0.732    1.215
C201612272056A  1.020    0.994    0.883
C201612272238A  0.754    1.224    1.041
C201612272320A  1.441    1.158    0.760
C201612272337A  1.482    0.873    1.171
C201612280430A  1.288    1.105    1.236
C201612280818A  3.059    1.698    1.066
C201612280822A  10.847   3.808    1.556
C201612280913A  2.766    1.557    1.380
C201612281238A  2.137    1.023    0.960
C201612281424A  1.077    1.287    0.954
C201612290234A  1.571    1.222    1.150
C201612291103A  0.820    0.826    0.968
C201612291733A  0.823    1.201    0.882
C201612292130A  0.908    1.507    1.256
C201612292230A  1.938    1.755    1.398
C201612300258A  0.529    0.702    0.788
C201612300710A  0.952    1.521    1.049
C201612301256A  0.759    0.698    0.854
C201612301948A  0.901    0.864    1.061
C201612302008A  1.385    0.844    0.920
C201612302108A  0.845    1.319    1.026
C201612310521A  1.514    1.106    1.021
C201612312144A  0.602    1.718    0.905
C201701011304A  1.147    0.977    0.796
C201701011412A  0.628    0.983    0.938
C201701011413A  1.246    1.039    1.097
C201701020013A  1.365    0.761    1.056
C201701020321A  1.503    1.156    0.962
C201701020335A  0.988    0.959    1.018
C201701021022A  0.837    1.008    0.709
C201701021313A  1.943    1.041    1.786
C201701021314A  0.935    1.130    1.012
C201701021604A  0.975    0.822    0.806
C201701021642A  1.278    1.135    0.730
C201701022102A  1.042    1.017    1.022
C201701030207A  1.579    1.095    1.177
C201701030909A  0.816    0.907    0.731
C201701031049A  0.891    1.019    0.959
C201701031341A  1.016    0.914    0.989
C201701031849A  0.946    1.366    1.205
C201701032119A  0.786    0.872    0.978
C201701032152A  18.602   2.034    3.713
C201701032240A  0.724    0.766    0.695
C201701040106A  1.891    1.462    1.083
C201701040310A  0.779    1.150    1.023
C201701040401A  1.105    1.363    1.178
C201701040536A  1.239    1.157    0.887
C201701040558A  1.145    1.096    1.001
C201701040937A  1.165    0.746    0.729
C201701041324A  0.939    1.065    1.530
C201701041412A  0.703    0.834    1.084
C201701041543A  0.847    0.867    1.084
C201701041753A  1.028    0.887    1.228
C201701042003A  1.505    1.149    1.168
C201701042103A  1.077    0.857    1.052
C201701050323A  1.093    0.864    0.678
C201701051117A  1.060    0.862    0.977
C201701051345A  1.668    0.908    0.921
C201701052323A  0.951    0.843    0.611
C201701060233A  1.138    1.146    0.776
C201701060630A  0.756    1.321    1.264
C201701061025A  1.662    1.347    1.033
C201701061106A  0.677    0.778    0.950
C201701061549A  1.362    1.040    1.079
C201701061646A  0.807    1.115    1.146
C201701061652A  1.130    0.925    0.871
C201701062039A  1.199    1.093    0.645
C201701062255A  1.449    1.235    1.258
C201701062336A  0.789    0.578    0.789
C201701070313A  2.664    0.926    2.811
C201701070317A  7.948    2.042    0.768
C201701070911A  1.031    0.898    0.934
C201701071327A  0.724    1.348    0.923
C201701080033A  1.057    0.927    1.172
C201701080104A  1.084    1.067    1.062
C201701080334A  2.064    1.914    1.176
C201701080852A  1.394    0.979    0.685
C201701081420A  1.031    1.043    1.011
C201701081621A  0.718    1.060    0.923
C201701082347A  6.639    3.989    16.875
C201701090051A  0.627    0.697    0.852
C201701090559A  0.717    0.776    0.685
C201701090920A  1.265    1.044    0.599
C201701090953A  0.829    1.139    0.891
C201701091041A  0.830    0.936    0.360
C201701091128A  0.305    0.859    0.569
C201701091755A  1.288    2.462    9.781
C201701091820A  0.806    0.849    0.826
C201701091920A  0.494    0.907    1.408
C201701100301A  1.333    0.702    0.856
C201701100613A  2.400    1.010    1.321
C201701101001A  1.534    0.972    1.206
C201701101527A  23.880   5.765    13.499
C201701110236A  1.138    1.001    0.689
C201701110249A  0.666    1.105    1.129
C201701110624A  0.708    1.171    1.244
C201701111438A  2.927    1.152    2.096
C201701111606A  0.928    0.902    1.025
C201701111835A  1.158    1.088    0.660
C201701112158A  1.769    1.037    0.788
C201701112207A  1.276    1.228    0.939
C201701120322A  1.479    1.137    0.981
C201701120438A  1.814    1.064    2.066
C201701121026A  1.261    0.829    0.740
C201701121329A  1.375    1.093    1.185
C201701121540A  1.405    1.006    0.688
C201701121606A  1.116    0.861    0.786
C201701122023A  1.052    0.967    1.070
C201701130325A  1.608    0.941    1.034
C201701130530A  0.908    0.882    1.005
C201701131314A  1.172    1.488    1.396
C201701131639A  1.133    1.279    1.192
C201701131702A  1.367    0.932    0.967
C201701132328A  0.832    0.974    1.005
C201701140611A  2.159    0.924    0.669
C201701140931A  0.838    1.211    0.712
C201701141034A  1.135    0.932    0.909
C201701141141A  0.850    0.740    0.388
C201701141825A  0.936    0.939    0.995
C201701160041A  2.072    1.222    1.057
C201701160116A  1.032    0.693    1.024
C201701160250A  0.854    0.988    0.986
C201701160820A  0.915    1.113    1.059
C201701161242A  1.766    0.840    0.962
C201701161506A  1.139    0.891    0.854
C201701162047A  3.076    0.634    2.299
C201701170117A  1.057    1.032    1.840
C201701170908A  5.037    2.005    1.588
C201701171041A  0.564    0.752    1.323
C201701171148A  0.594    0.775    0.784
C201701180202A  0.795    0.839    1.443
C201701180559A  0.878    0.930    1.010
C201701180925A  1.454    1.544    1.181
C201701181014B  2.629    1.222    1.057
C201701181025A  1.832    0.575    0.707
C201701181333A  1.069    1.010    1.004
C201701181542A  0.537    0.959    0.875
C201701191015A  0.885    1.105    0.972
C201701191653A  0.840    1.109    0.756
C201701191959A  0.697    1.038    1.440
C201701192304A  37.021   4.636    9.594
C201701200332A  1.461    0.916    0.687
C201701200954A  1.722    1.053    1.055
C201701201309A  1.264    0.911    1.049
C201701201736A  0.711    0.845    0.692
C201701210516A  1.452    0.999    2.932
C201701211753A  0.654    1.039    0.884
C201701211952A  1.042    1.048    0.442
C201701220430A  134.693  14.956   60.305
C201701231017A  1.420    0.932    0.892
C201701240938A  0.956    0.830    0.978
C201701241617A  1.067    1.129    1.221
C201701242038A  0.890    0.879    0.716
C201701250110A  1.451    1.344    1.463
C201701251021A  0.911    0.862    0.794
C201701251307A  0.691    0.952    1.903
C201701251349A  1.141    1.014    0.979
C201701251850A  1.018    1.090    1.059
C201701252054A  1.533    1.583    1.465
C201701260311A  0.844    0.954    1.436
C201701260806A  0.781    1.072    0.330
C201701261633A  1.324    0.999    0.924
C201701271629A  0.587    0.667    0.869
C201701271846A  1.170    1.666    1.063
C201701272011A  0.955    0.963    0.894
C201701280127A  0.709    1.090    1.174
C201701280414A  1.348    0.987    1.004
C201701280642A  1.634    1.300    1.010
C201701280924A  1.355    0.913    1.226
C201701281340A  1.088    0.948    0.888
C201701281732A  1.126    1.106    1.326
C201701281854A  0.571    0.701    0.923
C201701281931A  1.434    1.036    0.976
C201701282232A  1.031    0.924    0.910
C201701282312A  1.145    1.155    0.867
C201701290803A  0.636    0.774    0.753
C201701290851A  1.143    0.971    1.607
C201701291347A  0.976    0.913    1.110
C201701291459A  1.645    1.360    1.411
C201701291642A  0.793    1.117    1.390
C201701291738A  0.670    1.071    0.980
C201701292335A  1.006    1.191    1.200
C201701300243A  0.997    1.380    1.040
C201701300601A  0.937    0.878    0.868
C201701301337A  3.212    1.151    1.143
C201701301404A  1.191    0.807    0.706
C201701301645B  0.722    1.089    1.101
C201701301908A  1.166    0.695    1.024
C201701302335A  1.155    1.175    1.053
C201701310055A  8.579    1.684    1.013
C201701310616A  1.049    0.975    0.844
C201701310938A  1.038    1.039    1.161
C201701311143A  0.468    1.136    1.000
C201701311422A  1.300    0.738    1.019
C201702011007A  0.955    1.775    0.888
C201702011021A  0.840    1.347    1.120
C201702020018A  0.695    0.541    3.476
C201702020052A  0.955    0.954    0.362
C201702020505A  1.098    1.199    0.981
C201702021534A  0.816    0.622    1.161
C201702030052A  1.440    0.691    0.742
C201702031029A  1.599    1.389    0.773
C201702031920A  1.434    1.129    0.734
C201702031954A  6.697    1.688    2.967
C201702042205A  0.629    0.895    0.700
C201702050711A  0.990    1.048    0.569
C201702050935A  0.585    0.773    0.485
C201702051346A  0.746    1.405    1.187
C201702051559A  0.537    0.776    1.198
C201702052146A  1.910    1.035    1.377
C201702060351A  1.688    0.654    1.005
C201702060803A  1.096    0.804    0.879
C201702060850A  0.664    0.922    1.163
C201702061016A  0.696    0.958    0.957
C201702061058A  0.954    1.258    1.096
C201702061158A  0.675    1.283    0.583
C201702061302A  1.823    0.915    1.491
C201702061323A  1.012    0.736    0.964
C201702061703A  1.759    1.050    0.721
C201702061823A  1.019    0.934    1.180
C201702062204A  0.947    0.637    0.846
C201702062246A  1.313    1.609    1.138
C201702070224A  1.936    1.424    0.752
C201702071721A  0.975    1.132    0.723
C201702072203A  1.508    1.030    1.186
C201702081051A  0.999    0.882    0.568
C201702081102A  0.913    0.710    0.617
C201702081111A  0.920    0.712    0.775
C201702081344A  1.343    1.059    2.926
C201702090050A  1.243    1.016    0.978
C201702090221A  1.984    1.265    1.132
C201702090831A  1.316    1.120    1.003
C201702091452A  1.852    1.768    1.017
C201702091910A  1.290    1.310    1.151
C201702100258A  1.073    1.056    1.028
C201702100718A  0.922    0.830    2.037
C201702100855A  1.400    1.499    0.440
C201702101403A  3.944    0.700    0.859
C201702101712A  1.712    1.162    1.020
C201702101828A  1.028    0.966    2.506
C201702102105A  0.593    0.748    0.857
C201702110428A  0.639    1.080    1.130
C201702110733A  1.141    1.243    1.413
C201702110911A  0.763    0.807    0.977
C201702112018A  1.650    1.057    0.986
C201702112040A  0.704    0.955    1.005
C201702112253A  0.939    0.489    0.671
C201702120347A  0.916    0.996    1.020
C201702120401A  1.214    1.110    0.802
C201702120605A  1.277    0.935    0.581
C201702120932A  1.212    1.070    1.084
C201702120932B  1.414    1.527    1.223
C201702121348A  0.967    1.358    1.238
C201702121621A  1.348    0.858    0.774
C201702130308A  1.018    1.052    0.966
C201702130529A  1.179    0.978    0.881
C201702130717A  1.966    1.796    1.512
C201702130729A  3.081    1.304    1.207
C201702132004A  1.055    1.035    0.882
C201702132035A  1.063    0.884    1.546
C201702140138A  0.889    0.667    0.911
C201702140553A  1.397    1.442    3.894
C201702140938A  1.255    1.040    2.069
C201702141626A  1.076    0.950    1.202
C201702141854A  1.294    0.931    0.817
C201702142219A  1.003    1.403    1.500
C201702150134A  1.256    1.028    1.034
C201702150750A  1.021    1.007    0.920
C201702151407A  0.820    1.058    1.588
C201702151758A  1.422    1.026    0.964
C201702151853A  1.344    1.007    0.983
C201702151947A  2.085    1.278    1.348
C201702151953A  1.381    1.687    1.066
C201702160019A  1.260    1.143    1.032
C201702160538A  1.527    1.242    1.596
C201702160702A  0.721    0.972    1.354
C201702161954A  1.091    0.913    1.157
C201702171121A  1.200    1.295    0.979
C201702171931A  0.688    0.834    1.098
C201702180243A  1.463    1.315    0.466
C201702181210A  1.560    0.984    1.332
C201702182222A  1.463    1.070    1.189
C201702190522A  1.119    0.887    0.893
C201702190919A  0.972    0.919    0.991
C201702191102A  1.022    0.824    0.642
C201702191910A  0.627    0.955    0.916
C201702200311A  0.955    1.257    1.129
C201702200356A  1.530    1.038    0.909
C201702200745A  0.771    1.040    0.988
C201702200753A  0.991    1.181    0.622
C201702201459A  0.574    0.882    0.954
C201702201925A  0.940    0.608    1.076
C201702202129A  0.839    0.940    1.271
C201702202355A  2.788    0.955    1.691
C201702211001A  1.343    1.097    0.769
C201702211108A  1.012    0.936    0.969
C201702211308A  0.590    0.945    1.326
C201702211409A  3.279    1.717    1.089
C201702220531A  0.829    0.993    0.563
C201702220825A  1.110    1.248    1.146
C201702222325A  0.662    1.103    0.958
C201702230042A  1.065    1.119    0.635
C201702230401A  0.549    0.859    0.525
C201702230604A  1.367    1.366    1.051
C201702230947A  2.009    1.226    1.219
C201702231152A  0.953    1.120    0.990
C201702231511A  0.608    0.989    0.875
C201702232013A  0.591    0.802    1.698
C201702232110A  1.610    0.728    0.632
C201702240032A  3.576    1.195    1.676
C201702240312A  1.349    1.340    0.862
C201702240559A  1.404    0.932    0.897
C201702240946A  1.343    1.278    1.415
C201702241024A  1.290    0.870    0.860
C201702241202A  0.845    1.032    0.901
C201702241228A  2.279    1.173    0.893
C201702241341A  1.470    1.444    1.616
C201702241639A  0.930    0.961    1.345
C201702241728A  4.172    1.263    1.383
C201702242346A  0.777    0.750    0.969
C201702250231A  1.554    0.861    1.128
C201702250903A  1.153    1.320    0.890
C201702251400A  0.968    1.172    0.865
C201702251857A  1.365    1.093    1.028
C201702252308A  0.655    0.930    1.022
C201702260644A  0.865    1.220    1.043
C201702260859A  0.935    1.021    0.955
C201702260954A  1.208    1.332    0.993
C201702261503A  1.285    0.820    0.825
C201702261522A  0.953    1.056    0.963
C201702262317A  1.023    0.947    0.705
C201702270121A  1.178    1.653    1.223
C201702270217A  1.328    0.918    1.056
C201702270432A  0.712    0.990    0.936
C201702280350A  0.915    0.914    0.709
C201702280749A  1.523    0.829    0.786
C201702281342A  1.043    1.035    1.086
C201702281735A  1.159    1.477    1.156
C201702281908A  0.958    0.950    0.518
C201702282327A  0.677    1.019    1.414
S201604200833B  NaN      NaN      NaN
S201607251949A  24.766   3.856    3.703
