cmtcode         zSNR     zSNR     zSNR
C201603010926A  NaN      NaN      NaN
C201603011158A  NaN      NaN      NaN
C201603011217A  NaN      NaN      NaN
C201603020609A  NaN      NaN      NaN
C201603020635A  NaN      NaN      NaN
C201603020949A  NaN      NaN      NaN
C201603021249A  NaN      NaN      NaN
C201603030010A  NaN      NaN      NaN
C201603030711A  NaN      NaN      NaN
C201603030834B  NaN      NaN      NaN
C201603031009A  NaN      NaN      NaN
C201603031136A  NaN      NaN      NaN
C201603031252A  NaN      NaN      NaN
C201603031623A  NaN      NaN      NaN
C201603031928A  NaN      NaN      NaN
C201603032147A  NaN      NaN      NaN
C201603032158A  NaN      NaN      NaN
C201603032218A  NaN      NaN      NaN
C201603032223A  NaN      NaN      NaN
C201603032257A  NaN      NaN      NaN
C201603040332A  NaN      NaN      NaN
C201603040707A  NaN      NaN      NaN
C201603041644A  NaN      NaN      NaN
C201603042020A  NaN      NaN      NaN
C201603050033A  NaN      NaN      NaN
C201603050241A  NaN      NaN      NaN
C201603051729A  NaN      NaN      NaN
C201603051838A  NaN      NaN      NaN
C201603051845A  NaN      NaN      NaN
C201603052201A  NaN      NaN      NaN
C201603060005A  NaN      NaN      NaN
C201603060054A  NaN      NaN      NaN
C201603060702A  NaN      NaN      NaN
C201603061319A  NaN      NaN      NaN
C201603062102A  NaN      NaN      NaN
C201603070737A  NaN      NaN      NaN
C201603071143A  NaN      NaN      NaN
C201603072243A  NaN      NaN      NaN
C201603080536A  NaN      NaN      NaN
C201603081818A  NaN      NaN      NaN
C201603091204A  NaN      NaN      NaN
C201603091328A  NaN      NaN      NaN
C201603091550A  NaN      NaN      NaN
C201603091855A  NaN      NaN      NaN
C201603100216A  NaN      NaN      NaN
C201603100324A  NaN      NaN      NaN
C201603101248A  NaN      NaN      NaN
C201603101838A  NaN      NaN      NaN
C201603110108A  NaN      NaN      NaN
C201603110416A  NaN      NaN      NaN
C201603111444A  NaN      NaN      NaN
C201603112156A  NaN      NaN      NaN
C201603112241A  NaN      NaN      NaN
C201603120400A  NaN      NaN      NaN
C201603120425A  NaN      NaN      NaN
C201603120856A  NaN      NaN      NaN
C201603121323A  NaN      NaN      NaN
C201603121504A  NaN      NaN      NaN
C201603121517A  NaN      NaN      NaN
C201603121605A  NaN      NaN      NaN
C201603121806A  NaN      NaN      NaN
C201603130320A  NaN      NaN      NaN
C201603130419A  NaN      NaN      NaN
C201603131520A  NaN      NaN      NaN
C201603132150A  NaN      NaN      NaN
C201603140703A  NaN      NaN      NaN
C201603140726A  NaN      NaN      NaN
C201603142325A  NaN      NaN      NaN
C201603150440A  NaN      NaN      NaN
C201603150653A  NaN      NaN      NaN
C201603151335A  NaN      NaN      NaN
C201603151935A  NaN      NaN      NaN
C201603160349A  NaN      NaN      NaN
C201603160913A  NaN      NaN      NaN
C201603160924A  NaN      NaN      NaN
C201603161127A  NaN      NaN      NaN
C201603161204A  NaN      NaN      NaN
C201603161309A  NaN      NaN      NaN
C201603161542A  NaN      NaN      NaN
C201603161604A  NaN      NaN      NaN
C201603161627A  NaN      NaN      NaN
C201603161812A  NaN      NaN      NaN
C201603180017A  NaN      NaN      NaN
C201603180031A  NaN      NaN      NaN
C201603180236A  NaN      NaN      NaN
C201603180553A  NaN      NaN      NaN
C201603180938A  NaN      NaN      NaN
C201603181052A  NaN      NaN      NaN
C201603181249A  NaN      NaN      NaN
C201603181410A  NaN      NaN      NaN
C201603181412A  NaN      NaN      NaN
C201603181611A  NaN      NaN      NaN
C201603182246A  NaN      NaN      NaN
C201603182328A  NaN      NaN      NaN
C201603190135A  NaN      NaN      NaN
C201603190851A  NaN      NaN      NaN
C201603191024A  NaN      NaN      NaN
C201603191126A  NaN      NaN      NaN
C201603191155A  NaN      NaN      NaN
C201603191836A  NaN      NaN      NaN
C201603192017A  NaN      NaN      NaN
C201603200834A  NaN      NaN      NaN
C201603201815A  NaN      NaN      NaN
C201603202250A  NaN      NaN      NaN
C201603211448A  NaN      NaN      NaN
C201603220224A  NaN      NaN      NaN
C201603221056A  NaN      NaN      NaN
C201603230239A  NaN      NaN      NaN
C201603231743A  NaN      NaN      NaN
C201603232131A  NaN      NaN      NaN
C201603240029A  NaN      NaN      NaN
C201603241505A  NaN      NaN      NaN
C201603250625A  NaN      NaN      NaN
C201603251949A  NaN      NaN      NaN
C201603252136A  NaN      NaN      NaN
C201603260108A  NaN      NaN      NaN
C201603260324A  NaN      NaN      NaN
C201603261618A  NaN      NaN      NaN
C201603270939A  NaN      NaN      NaN
C201603271201A  NaN      NaN      NaN
C201603271355A  NaN      NaN      NaN
C201603271548A  NaN      NaN      NaN
C201603271801B  NaN      NaN      NaN
C201603280003A  NaN      NaN      NaN
C201603280012A  NaN      NaN      NaN
C201603280357A  NaN      NaN      NaN
C201603281714A  NaN      NaN      NaN
C201603281907A  NaN      NaN      NaN
C201603290105A  NaN      NaN      NaN
C201603290624A  NaN      NaN      NaN
C201603290918A  NaN      NaN      NaN
C201603291032A  NaN      NaN      NaN
C201603291103A  NaN      NaN      NaN
C201603292053A  NaN      NaN      NaN
C201603300132A  NaN      NaN      NaN
C201603300339A  NaN      NaN      NaN
C201603300352A  NaN      NaN      NaN
C201603300359A  NaN      NaN      NaN
C201603300405A  NaN      NaN      NaN
C201603300601A  NaN      NaN      NaN
C201603301338A  NaN      NaN      NaN
C201603301947A  NaN      NaN      NaN
C201603302215A  NaN      NaN      NaN
C201603310715A  NaN      NaN      NaN
C201603311230A  NaN      NaN      NaN
C201604010101A  NaN      NaN      NaN
C201604010239A  NaN      NaN      NaN
C201604011425A  NaN      NaN      NaN
C201604011924A  NaN      NaN      NaN
C201604020550A  NaN      NaN      NaN
C201604021301A  NaN      NaN      NaN
C201604021753B  NaN      NaN      NaN
C201604022323A  NaN      NaN      NaN
C201604030046A  NaN      NaN      NaN
C201604030405A  NaN      NaN      NaN
C201604030541A  NaN      NaN      NaN
C201604030823A  NaN      NaN      NaN
C201604031448A  NaN      NaN      NaN
C201604031818A  NaN      NaN      NaN
C201604031909A  NaN      NaN      NaN
C201604032211A  NaN      NaN      NaN
C201604032221A  NaN      NaN      NaN
C201604040822A  NaN      NaN      NaN
C201604041232A  NaN      NaN      NaN
C201604041323A  NaN      NaN      NaN
C201604041335A  NaN      NaN      NaN
C201604041616A  NaN      NaN      NaN
C201604041711A  NaN      NaN      NaN
C201604042103A  NaN      NaN      NaN
C201604050829A  NaN      NaN      NaN
C201604051212A  NaN      NaN      NaN
C201604051621A  NaN      NaN      NaN
C201604051734A  NaN      NaN      NaN
C201604051809A  NaN      NaN      NaN
C201604060658A  NaN      NaN      NaN
C201604060757A  NaN      NaN      NaN
C201604061445A  NaN      NaN      NaN
C201604061735A  NaN      NaN      NaN
C201604062035A  NaN      NaN      NaN
C201604062219A  NaN      NaN      NaN
C201604062259A  NaN      NaN      NaN
C201604070332A  NaN      NaN      NaN
C201604071200A  NaN      NaN      NaN
C201604071218A  NaN      NaN      NaN
C201604071222A  NaN      NaN      NaN
C201604080219A  NaN      NaN      NaN
C201604080717A  NaN      NaN      NaN
C201604081430A  NaN      NaN      NaN
C201604081448A  NaN      NaN      NaN
C201604081905A  NaN      NaN      NaN
C201604082100A  NaN      NaN      NaN
C201604090712A  NaN      NaN      NaN
C201604090842A  NaN      NaN      NaN
C201604090959A  NaN      NaN      NaN
C201604091003A  NaN      NaN      NaN
C201604091407A  NaN      NaN      NaN
C201604100214A  NaN      NaN      NaN
C201604100422A  NaN      NaN      NaN
C201604100711A  NaN      NaN      NaN
C201604101028A  NaN      NaN      NaN
C201604101546A  NaN      NaN      NaN
C201604101748A  NaN      NaN      NaN
C201604101934A  NaN      NaN      NaN
C201604102213A  NaN      NaN      NaN
C201604110050A  NaN      NaN      NaN
C201604110545A  NaN      NaN      NaN
C201604110929A  NaN      NaN      NaN
C201604112010A  NaN      NaN      NaN
C201604112334A  NaN      NaN      NaN
C201604120322A  NaN      NaN      NaN
C201604120541A  NaN      NaN      NaN
C201604120952A  NaN      NaN      NaN
C201604121124A  NaN      NaN      NaN
C201604121207A  NaN      NaN      NaN
C201604121451A  NaN      NaN      NaN
C201604121516A  NaN      NaN      NaN
C201604121843A  NaN      NaN      NaN
C201604122023A  NaN      NaN      NaN
C201604122234A  NaN      NaN      NaN
C201604122322A  NaN      NaN      NaN
C201604131355A  NaN      NaN      NaN
C201604131821A  NaN      NaN      NaN
C201604132001A  NaN      NaN      NaN
C201604140137A  NaN      NaN      NaN
C201604140223A  NaN      NaN      NaN
C201604140306A  NaN      NaN      NaN
C201604140938A  NaN      NaN      NaN
C201604141217A  NaN      NaN      NaN
C201604141226A  NaN      NaN      NaN
C201604141307A  NaN      NaN      NaN
C201604141443A  NaN      NaN      NaN
C201604141503A  NaN      NaN      NaN
C201604142150A  NaN      NaN      NaN
C201604142223A  NaN      NaN      NaN
C201604142315A  NaN      NaN      NaN
